name	score	s1	s2
corrected_species_name_sam	0.9119461	diceros bicornis	diceros bicornis michaeli
corrected_species_name_sam	0.87953055	muscicapa_caerulescens	muscicapa_coerulescens
corrected_species_name_sam	0.96080524	connochates taurinus	connochaetes taurinus
corrected_species_name_sam	0.90065306	nestor meridionalis	nestor meridionalis septentrionalis
corrected_species_name_sam	0.9516317	bubo_lacteus	bubo lacteus
corrected_species_name_sam	0.9253143	geospiza difficilis septentrionalis	geospiza difficilis
corrected_species_name_sam	0.95874286	pongo pygmaeus	pongo pygmaeus pygmaeus
corrected_species_name_sam	0.9548552	psittacus erithacus	psittacus erithacus psittacini
corrected_species_name_sam	0.9002297	potos flavus megalotus	potos flavus
corrected_species_name_sam	0.8889301	pongo pygmaeus abelii	pongo pygmaeus pygmaeus
corrected_species_name_sam	0.8960415	pongo pygmaeus abelii	pongo pygmaeus
corrected_species_name_sam	0.9244019	ailurus fulgens	ailurus fulgens refulgens
corrected_species_name_sam	0.8723867	colobus guereza	colobus guereza kikuyensis
corrected_species_name_sam	0.9002021	tragelaphus eurycerus isaaci	tragelaphus eurycerus
corrected_species_name_sam	0.8518052	panthera leo	panthera leo krugeri
corrected_species_name_sam	0.97231615	elephas maximus	elephas maximus maximus
corrected_species_name_sam	0.95146996	saimiri boliviensis	saimiri boliviensis boliviensis
corrected_species_name_sam	0.9847697	callosciurus prevostii	callosciurus prevosti
corrected_species_name_sam	0.9682483	saguinus labiatus	saguinus labiatus labiatus
corrected_species_name_sam	0.9125006	giraffa camelopardalis reticulata	giraffa camelopardalis
corrected_species_name_sam	0.8556016	plocepasser mahali	plocepasser_mahali
corrected_species_name_sam	0.9521333	bubulcus ibis	bubulcus_ibis
corrected_species_name_sam	0.96671605	loxodonta africana	loxodonta africana africana
corrected_species_name_sam	0.8793409	equus asinus africanus	equus asinus somalicus
corrected_species_name_sam	0.9177269	equus burchellii	equus burchelli chapmani
corrected_species_name_sam	0.8755742	equus burchellii	equus burchellii quagga
corrected_species_name_sam	0.887354	elephas maximus indicus	elephas maximus maximus
corrected_species_name_sam	0.9004197	elephas maximus indicus	elephas maximus
