name	score	s1	s2
experimental_factor__rna_interference_exp	0.98343176	snrnp25 sirna	snrnp27 sirna
experimental_factor__rna_interference_exp	0.8551878	dhx32 sirna	ddx3x sirna
experimental_factor__rna_interference_exp	0.9494859	lsm3 sirna	lsm6 sirna
experimental_factor__rna_interference_exp	0.93649673	hnrnpul1 sirna	hnrnpf sirna
experimental_factor__rna_interference_exp	0.9029325	rbm17 sirna	rbmx2 sirna
experimental_factor__rna_interference_exp	0.9467695	prpf4 sirna	prpf18 sirna
experimental_factor__rna_interference_exp	0.88931763	snrpa sirna	snrnp27 sirna
experimental_factor__rna_interference_exp	0.8974589	snrpa sirna	snrnp25 sirna
experimental_factor__rna_interference_exp	0.96573305	snrnp200 sirna	snrnp27 sirna
experimental_factor__rna_interference_exp	0.9716226	snrnp200 sirna	snrnp25 sirna
experimental_factor__rna_interference_exp	0.9046458	snrnp200 sirna	snrpa sirna
experimental_factor__rna_interference_exp	0.9541265	ddx39b sirna	ddx3x sirna
experimental_factor__rna_interference_exp	0.85721076	ddx39b sirna	dhx32 sirna
experimental_factor__rna_interference_exp	0.8610823	snu13 sirna	snip1 sirna
experimental_factor__rna_interference_exp	0.9645729	hnrnpab sirna	hnrnpf sirna
experimental_factor__rna_interference_exp	0.9305704	hnrnpab sirna	hnrnpul1 sirna
experimental_factor__rna_interference_exp	0.9398423	ddx24 sirna	ddx3x sirna
experimental_factor__rna_interference_exp	0.95400333	ddx24 sirna	ddx39b sirna
experimental_factor__rna_interference_exp	0.9499788	endogenous smarcad1 knockdown by shrna	smarcad1 knockdown by shrna
experimental_factor__rna_interference_exp	0.9017209	luc7l3 sirna	luc sirna
experimental_factor__rna_interference_exp	0.96654356	lsm7 sirna	lsm6 sirna
experimental_factor__rna_interference_exp	0.9489255	lsm7 sirna	lsm3 sirna
experimental_factor__rna_interference_exp	0.9809345	dis3l knockdown by sirna	dis3l2 knockdown by sirna
experimental_factor__rna_interference_exp	0.888927	ppie sirna	ppil2 sirna
experimental_factor__rna_interference_exp	0.87533283	brca1 sirna	brca2 sirna
experimental_factor__rna_interference_exp	0.9541625	hnrnpa3 sirna	hnrnpf sirna
experimental_factor__rna_interference_exp	0.91438067	hnrnpa3 sirna	hnrnpul1 sirna
experimental_factor__rna_interference_exp	0.96405166	hnrnpa3 sirna	hnrnpab sirna
experimental_factor__rna_interference_exp	0.8889015	luciferase sirna	luc sirna
experimental_factor__rna_interference_exp	0.9453312	ddx41 sirna	ddx3x sirna
experimental_factor__rna_interference_exp	0.9468363	ddx41 sirna	ddx39b sirna
experimental_factor__rna_interference_exp	0.9493444	ddx41 sirna	ddx24 sirna
experimental_factor__rna_interference_exp	0.94276595	shluc7l	shluc7l3
experimental_factor__rna_interference_exp	0.9591478	hnrnpdl sirna	hnrnpf sirna
experimental_factor__rna_interference_exp	0.938192	hnrnpdl sirna	hnrnpul1 sirna
experimental_factor__rna_interference_exp	0.951604	hnrnpdl sirna	hnrnpab sirna
experimental_factor__rna_interference_exp	0.9368684	hnrnpdl sirna	hnrnpa3 sirna
experimental_factor__rna_interference_exp	0.91207296	rbm5 sirna	rbmx2 sirna
experimental_factor__rna_interference_exp	0.9296882	rbm5 sirna	rbm17 sirna
experimental_factor__rna_interference_exp	0.8655906	igf2bp1 knockdown by sirna	igf2bp1 targetting sirna
experimental_factor__rna_interference_exp	0.9667338	hnrnpc sirna	hnrnpf sirna
experimental_factor__rna_interference_exp	0.9269506	hnrnpc sirna	hnrnpul1 sirna
experimental_factor__rna_interference_exp	0.95122933	hnrnpc sirna	hnrnpab sirna
experimental_factor__rna_interference_exp	0.95061374	hnrnpc sirna	hnrnpa3 sirna
experimental_factor__rna_interference_exp	0.9486673	hnrnpc sirna	hnrnpdl sirna
experimental_factor__rna_interference_exp	0.8557092	rnps1 sirna	snrnp25 sirna
experimental_factor__rna_interference_exp	0.9355397	dhx8 sirna	dhx32 sirna
experimental_factor__rna_interference_exp	0.94953185	ddx17 sirna	ddx3x sirna
experimental_factor__rna_interference_exp	0.9561383	ddx17 sirna	ddx39b sirna
experimental_factor__rna_interference_exp	0.96486586	ddx17 sirna	ddx24 sirna
experimental_factor__rna_interference_exp	0.95095253	ddx17 sirna	ddx41 sirna
experimental_factor__rna_interference_exp	0.94530654	prpf3 sirna	prpf18 sirna
experimental_factor__rna_interference_exp	0.95749336	prpf3 sirna	prpf4 sirna
experimental_factor__rna_interference_exp	0.9666612	shluc7l2	shluc7l3
experimental_factor__rna_interference_exp	0.94264245	shluc7l2	shluc7l
experimental_factor__rna_interference_exp	0.93488926	hnrnp a1 sirna	hnrnpf sirna
experimental_factor__rna_interference_exp	0.90003777	hnrnp a1 sirna	hnrnpul1 sirna
experimental_factor__rna_interference_exp	0.93915755	hnrnp a1 sirna	hnrnpab sirna
experimental_factor__rna_interference_exp	0.9493717	hnrnp a1 sirna	hnrnpa3 sirna
experimental_factor__rna_interference_exp	0.9178559	hnrnp a1 sirna	hnrnpdl sirna
experimental_factor__rna_interference_exp	0.9249667	hnrnp a1 sirna	hnrnpc sirna
experimental_factor__rna_interference_exp	0.8955856	cpsf6 sirna	cpsf6 knockdown by sirna
experimental_factor__rna_interference_exp	0.9320485	cpsf6 sirna	cpsf2 sirna
experimental_factor__rna_interference_exp	0.92018247	matr3 knockdown by sirna	matr3 sirna
experimental_factor__rna_interference_exp	0.9152125	prpf6 sirna	prpf18 sirna
experimental_factor__rna_interference_exp	0.9204805	prpf6 sirna	prpf4 sirna
experimental_factor__rna_interference_exp	0.8999988	prpf6 sirna	prpf6 knockdown by sirna
experimental_factor__rna_interference_exp	0.9264953	prpf6 sirna	prpf3 sirna
experimental_factor__rna_interference_exp	0.96591854	hnrnpd sirna	hnrnpf sirna
experimental_factor__rna_interference_exp	0.9302635	hnrnpd sirna	hnrnpul1 sirna
experimental_factor__rna_interference_exp	0.9624442	hnrnpd sirna	hnrnpab sirna
experimental_factor__rna_interference_exp	0.9478204	hnrnpd sirna	hnrnpa3 sirna
experimental_factor__rna_interference_exp	0.96859306	hnrnpd sirna	hnrnpdl sirna
experimental_factor__rna_interference_exp	0.9664416	hnrnpd sirna	hnrnpc sirna
experimental_factor__rna_interference_exp	0.9192813	hnrnpd sirna	hnrnp a1 sirna
experimental_factor__rna_interference_exp	0.85752445	snrpa1 sirna	snrnp25 sirna
experimental_factor__rna_interference_exp	0.93063843	snrpa1 sirna	snrpa sirna
experimental_factor__rna_interference_exp	0.85801923	snrpa1 sirna	snrnp200 sirna
experimental_factor__rna_interference_exp	0.9425985	ddx52 sirna	ddx3x sirna
experimental_factor__rna_interference_exp	0.859913	ddx52 sirna	dhx32 sirna
experimental_factor__rna_interference_exp	0.9456593	ddx52 sirna	ddx39b sirna
experimental_factor__rna_interference_exp	0.95174825	ddx52 sirna	ddx24 sirna
experimental_factor__rna_interference_exp	0.8607358	ddx52 sirna	ddx54 sirna number
experimental_factor__rna_interference_exp	0.9393419	ddx52 sirna	ddx41 sirna
experimental_factor__rna_interference_exp	0.9516191	ddx52 sirna	ddx17 sirna
experimental_factor__rna_interference_exp	0.9351549	srsf4 sirna	srsf7 sirna
experimental_factor__rna_interference_exp	0.9747158	snrnp48 sirna	snrnp27 sirna
experimental_factor__rna_interference_exp	0.97187674	snrnp48 sirna	snrnp25 sirna
experimental_factor__rna_interference_exp	0.9052382	snrnp48 sirna	snrpa sirna
experimental_factor__rna_interference_exp	0.9699845	snrnp48 sirna	snrnp200 sirna
experimental_factor__rna_interference_exp	0.8664572	snrnp48 sirna	snrpa1 sirna
experimental_factor__rna_interference_exp	0.96485496	hnrnph1 sirna	hnrnpf sirna
experimental_factor__rna_interference_exp	0.936619	hnrnph1 sirna	hnrnpul1 sirna
experimental_factor__rna_interference_exp	0.9592447	hnrnph1 sirna	hnrnpab sirna
experimental_factor__rna_interference_exp	0.9605805	hnrnph1 sirna	hnrnpa3 sirna
experimental_factor__rna_interference_exp	0.9540979	hnrnph1 sirna	hnrnpdl sirna
experimental_factor__rna_interference_exp	0.95751977	hnrnph1 sirna	hnrnpc sirna
experimental_factor__rna_interference_exp	0.85125875	hnrnph1 sirna	rnps1 sirna
experimental_factor__rna_interference_exp	0.9344799	hnrnph1 sirna	hnrnp a1 sirna
experimental_factor__rna_interference_exp	0.9584824	hnrnph1 sirna	hnrnpd sirna
experimental_factor__rna_interference_exp	0.85200906	control sirna	scrambled sirna
experimental_factor__rna_interference_exp	0.91893774	ago2 sirna	ago2 knockdown by sirna
experimental_factor__rna_interference_exp	0.95952696	hnrnpu sirna	hnrnpf sirna
experimental_factor__rna_interference_exp	0.9396061	hnrnpu sirna	hnrnpul1 sirna
experimental_factor__rna_interference_exp	0.944396	hnrnpu sirna	hnrnpab sirna
experimental_factor__rna_interference_exp	0.9373693	hnrnpu sirna	hnrnpa3 sirna
