name	score	s1	s2
water_content_sam	0.8910223	0,142283419	0,096463023
water_content_sam	0.91198516	0,142283419	0,114712733
water_content_sam	0.8778962	74,8	84,8
water_content_sam	0.9289018	74,8	71,8
water_content_sam	0.8953916	74,8	75,7
water_content_sam	0.9022396	88,1	87,2
water_content_sam	0.91853774	88,1	88,4
water_content_sam	0.8930137	0,092844764	0,109098568
water_content_sam	0.89033234	0,092844764	0,129343629
water_content_sam	0.87586856	0,092844764	0,143153136
water_content_sam	0.89657784	0,092844764	0,132425274
water_content_sam	0.8526386	0,092844764	0,119515253
water_content_sam	0.8590842	0,092844764	0,134273168
water_content_sam	0.8710104	0,092844764	0,112639725
water_content_sam	0.9674202	0,092844764	0,095132297
water_content_sam	0.88949454	0,092844764	0,129237828
water_content_sam	0.9025804	0,092844764	0,124240378
water_content_sam	0.95478773	0,092844764	0,096463023
water_content_sam	0.8978334	0,092844764	0,114712733
water_content_sam	0.9077029	0,092844764	0,142283419
water_content_sam	0.86842895	0,117218172	0,109098568
water_content_sam	0.8637446	0,117218172	0,143153136
water_content_sam	0.87593824	0,117218172	0,132425274
water_content_sam	0.8654517	0,117218172	0,119515253
water_content_sam	0.88278013	0,117218172	0,112639725
water_content_sam	0.8657413	0,117218172	0,095132297
water_content_sam	0.8654182	0,117218172	0,129237828
water_content_sam	0.89320314	0,117218172	0,124240378
water_content_sam	0.86183214	0,117218172	0,096463023
water_content_sam	0.9071933	0,117218172	0,114712733
water_content_sam	0.8744434	0,117218172	0,142283419
water_content_sam	0.857106	0,117218172	0,092844764
water_content_sam	0.85249853	63,03	82,03
water_content_sam	0.89187586	number	number ± number
water_content_sam	0.8535935	0,651	0,391
water_content_sam	0.8849999	0,651	0,873
water_content_sam	0.88041675	0,651	0,544
water_content_sam	0.97399354	0,651	0,641
water_content_sam	0.8981266	0,651	0,862
water_content_sam	0.864954	85,64	84,69
water_content_sam	0.85466254	0,152178533	0,129343629
water_content_sam	0.8695953	0,152178533	0,143153136
water_content_sam	0.88320845	0,152178533	0,132425274
water_content_sam	0.88398147	0,152178533	0,119515253
water_content_sam	0.85095346	0,152178533	0,134273168
water_content_sam	0.87019336	0,152178533	0,112639725
water_content_sam	0.8897096	0,152178533	0,095132297
water_content_sam	0.86716634	0,152178533	0,129237828
water_content_sam	0.8671489	0,152178533	0,124240378
water_content_sam	0.89814043	0,152178533	0,096463023
water_content_sam	0.89406896	0,152178533	0,114712733
water_content_sam	0.88521564	0,152178533	0,142283419
water_content_sam	0.87979996	0,152178533	0,092844764
water_content_sam	0.85507816	0,152178533	0,117218172
water_content_sam	0.93906236	83,02	82,03
water_content_sam	0.8754569	82,9	84,8
water_content_sam	0.91454446	82,9	86,9
water_content_sam	0.898461	82,9	82,6
water_content_sam	0.89507246	82,9	87,9
water_content_sam	0.88760734	82,9	82,3
water_content_sam	0.91659415	85,04	85,05
water_content_sam	0.8984256	85,04	82,03
water_content_sam	0.87853205	85,04	85,4
water_content_sam	0.8995888	85,04	83,02
water_content_sam	0.85029006	0,13240565	0,109098568
water_content_sam	0.8943559	0,13240565	0,129343629
water_content_sam	0.8551222	0,13240565	0,143153136
water_content_sam	0.9344411	0,13240565	0,132425274
water_content_sam	0.8638184	0,13240565	0,119515253
water_content_sam	0.880196	0,13240565	0,134273168
water_content_sam	0.8609569	0,13240565	0,112639725
water_content_sam	0.8646634	0,13240565	0,095132297
water_content_sam	0.8896549	0,13240565	0,129237828
water_content_sam	0.86018157	0,13240565	0,124240378
water_content_sam	0.8802071	0,13240565	0,096463023
water_content_sam	0.8843316	0,13240565	0,114712733
water_content_sam	0.86951196	0,13240565	0,142283419
water_content_sam	0.8567866	0,13240565	0,092844764
water_content_sam	0.8667023	0,13240565	0,117218172
water_content_sam	0.8630482	0,13240565	0,152178533
water_content_sam	0.87366056	0,140101738	0,109098568
water_content_sam	0.8765599	0,140101738	0,129343629
water_content_sam	0.8593066	0,140101738	0,143153136
water_content_sam	0.87706876	0,140101738	0,132425274
water_content_sam	0.8544747	0,140101738	0,119515253
water_content_sam	0.8788222	0,140101738	0,134273168
water_content_sam	0.8662323	0,140101738	0,095132297
water_content_sam	0.9079312	0,140101738	0,129237828
water_content_sam	0.86580324	0,140101738	0,124240378
water_content_sam	0.88292706	0,140101738	0,096463023
water_content_sam	0.9029768	0,140101738	0,114712733
water_content_sam	0.9060095	0,140101738	0,142283419
water_content_sam	0.8754009	0,140101738	0,092844764
water_content_sam	0.8570251	0,140101738	0,117218172
water_content_sam	0.87026197	0,140101738	0,152178533
water_content_sam	0.8512708	93,9	91,3
water_content_sam	0.8948078	93,9	86,9
water_content_sam	0.8940528	93,9	87,9
water_content_sam	0.8843062	93,9	82,9
water_content_sam	0.8927067	0,129025512	0,109098568
water_content_sam	0.92523456	0,129025512	0,129343629
water_content_sam	0.8514526	0,129025512	0,143153136
water_content_sam	0.8822177	0,129025512	0,132425274
water_content_sam	0.8696614	0,129025512	0,106060606
water_content_sam	0.8556776	0,129025512	0,134273168
water_content_sam	0.8752977	0,129025512	0,095132297
water_content_sam	0.93164647	0,129025512	0,129237828
water_content_sam	0.87634873	0,129025512	0,124240378
water_content_sam	0.8969481	0,129025512	0,096463023
water_content_sam	0.8762026	0,129025512	0,114712733
