attr	score	s1	s2
sampling_date_run	0.85219824	december number	number
sampling_date_run	0.8540314	june number	number
sampling_date_run	0.9954181	june number	december number
sampling_date_run	0.85921955	august number	number
sampling_date_run	0.9959457	august number	december number
sampling_date_run	0.9934837	august number	june number
sampling_date_run	0.858486	april number	number
sampling_date_run	0.9963847	april number	december number
sampling_date_run	0.99850595	april number	june number
sampling_date_run	0.9954631	april number	august number
sampling_date_run	0.85724616	november number	number
sampling_date_run	0.9971623	november number	december number
sampling_date_run	0.9959837	november number	june number
sampling_date_run	0.9955219	november number	august number
sampling_date_run	0.9967621	november number	april number
sampling_date_run	0.8648235	march number	number
sampling_date_run	0.99393773	march number	december number
sampling_date_run	0.9958241	march number	june number
sampling_date_run	0.9919138	march number	august number
sampling_date_run	0.9963221	march number	april number
sampling_date_run	0.99384576	march number	november number
sampling_date_run	0.85629547	january number	number
sampling_date_run	0.9979002	january number	december number
sampling_date_run	0.993282	january number	june number
sampling_date_run	0.99592346	january number	august number
sampling_date_run	0.99475837	january number	april number
sampling_date_run	0.9966691	january number	november number
sampling_date_run	0.99019593	january number	march number
sampling_date_run	0.8566372	october number	number
sampling_date_run	0.99793786	october number	december number
sampling_date_run	0.9945167	october number	june number
sampling_date_run	0.9982535	october number	august number
sampling_date_run	0.9962864	october number	april number
sampling_date_run	0.99679834	october number	november number
sampling_date_run	0.9931635	october number	march number
sampling_date_run	0.9974028	october number	january number
sampling_date_run	0.8557017	july number	number
sampling_date_run	0.9947655	july number	december number
sampling_date_run	0.99876136	july number	june number
sampling_date_run	0.9937867	july number	august number
sampling_date_run	0.9985401	july number	april number
sampling_date_run	0.99467033	july number	november number
sampling_date_run	0.9951355	july number	march number
sampling_date_run	0.9928974	july number	january number
sampling_date_run	0.994442	july number	october number
sampling_date_run	0.9286188	may number	number
sampling_date_run	0.90789944	may number	december number
sampling_date_run	0.91410625	may number	june number
sampling_date_run	0.908943	may number	august number
sampling_date_run	0.91358316	may number	april number
sampling_date_run	0.9138367	may number	november number
sampling_date_run	0.916988	may number	march number
sampling_date_run	0.9079454	may number	january number
sampling_date_run	0.90781873	may number	october number
sampling_date_run	0.91032857	may number	july number
sampling_date_run	0.8541118	february number	number
sampling_date_run	0.99798983	february number	december number
sampling_date_run	0.9942926	february number	june number
sampling_date_run	0.99768114	february number	august number
sampling_date_run	0.9960427	february number	april number
sampling_date_run	0.9972825	february number	november number
sampling_date_run	0.99243146	february number	march number
sampling_date_run	0.9979848	february number	january number
sampling_date_run	0.99876404	february number	october number
sampling_date_run	0.9939155	february number	july number
sampling_date_run	0.90793645	february number	may number
sampling_date_run	0.86350334	september number	number
sampling_date_run	0.99736947	september number	december number
sampling_date_run	0.9948148	september number	june number
sampling_date_run	0.99768543	september number	august number
sampling_date_run	0.9965291	september number	april number
sampling_date_run	0.99690646	september number	november number
sampling_date_run	0.9940235	september number	march number
sampling_date_run	0.99676925	september number	january number
sampling_date_run	0.99876845	september number	october number
sampling_date_run	0.99441004	september number	july number
sampling_date_run	0.9124578	september number	may number
sampling_date_run	0.9977493	september number	february number
