wound
feces
m23
urine
mcov_67_f2_bhq1
neopul_loe4_nli7_lp_f
swab nose/throat/perineum
bal03
blood
telvit_muc3_lya6_gi_m
astbur_izc5_blc2_gi_f
number
erecya_mui3_lvh1_ad_m
ext027
pus
mcov_107_fsw_1_bhq1
cypdwj_mvc7_oib1_br_m
sputum
julorn_lpa8_nab7_ad_m
mcov_591_fsw_1_bhq1
ext013
other
ext030
mcov_067_fsw_1_bhq1
rectal swab
mcov_087_fsw_3_bhq1
neomod_mue3_lrc7_ve_f
mcov_176_fsw_3_bhq1
mcov_260_fsw_2_bhq1
m5
missing data number
plestr_moa8_nra9_lp_m
ophven_lnb7_mbf5_br_m
cypmic_onf3_pzi5_ad_m
s33
neocau_iqa5_jid4_lp_m
gnapfe_lne1_mrc1_lp_f
ctehor_lnd9_mrb1_br_f
bal16
neotet_ipg6_jhd4_gi_m
mouse ileal content
tissue number
plepar_omi7_qhg5_lp_m
kal_qme3_phi9_gi_f
lamkun_onc9_pxi4_ve_m
s236
mcov_463_fsw_2_bhq1
neocau_iqa4_jib9_ve_f
mcov_272_f1_bhq1
mcov_112_f2_bhq1
neomod_muc4_lyb5_ad_m
mcov_548_fsw_1_bhq1
fluid
mcov_008_fsw_2_bhq1
tromoo_loe9_nmf1_ve_m
erecya_mue2_lrb8_gi_f
specimen number
mcov_67_f3_bhq1
s232
mcov_006_fsw_2_bhq1
mainz number
cyplep_lpc5_mya8_gi_f
bucaramanga numeric
ext022
neocau_muh2_luf1_gi_m
mcov_081_fsw_2_bhq1
mouse faeces
s1
mcov_005_fsw_1_bhq1
kal_qme6_pia1_sp_m
mcov_026_fsw_1_bhq1
mcov_424_f1_bhq1
cypmic_onf7_qae1_ad_f
tissue
lzl_qnd9_pjg2_gi_f
artificial csf
not applicable
ka2_qmf5_pid2_sp_f
teldhs_loe6_nmc2_br_f
batgra_iui8_hqd4_gi_f
julorn_lpa8_nac2_br_m
m22
mcov_084_fsw_1_bhq1
oretan_rlb6_qwa4_ad_f
mcov_284_fsw_1_bhq1
benhor_ilg1_dwa9_br_m
eremar_jxe9_kog3_lp_m
indwelling line
julorn_isc4_jne1_lp_f
lamkun_one5_pzf4_lp_f
swab
cypmic_onf3_pzi4_ve_m
altfas_lnc5_mce3_lp_m
julorn_isc4_jnd8_ad_f
s262
teltes_lnd7_mdh3_ve_f
mcov_082_fsw_2_bhq1
julreg_mof8_nvb1_br_m
k2p_qoe3_plg2_gi_f
ext032
mcov_078_fsw_1_bhq1
loblab_isf2_joc5_ve_m
loblab_lpe2_nci6_gi_f
cecum content
ext011
calplk_mvf1_okg5_lp_f
chabri_mud8_lzh1_ad_m
human faeces
xenspi_lnh6_mwe3_lp_m
tremar_log5_nob1_br_m
plepar_omh2_qha9_lp_f
pleural fluid
s284
mcov_367_fsw_2_bhq1
spaery_juh2_kkc2_br_m
mcov_97_f1_bhq1
mouse colonic content
neopul_isa7_jma8_lp_m
varmoo_lna4_maa7_ad_f
lchaur_rlc7_qid9_lp_m
ext009
stool
mcov_356_f1_bhq1
petpol_rkc1_qra5_gi_m
spaery_juh2_kkb7_ad_m
mouse caecal content
mcov_812_fsw_1_bhq1
altfas_lnc5_mcd9_ve_m
juldic_mog8_nwc1_lp_f
ileum_content
spaery_juh3_kkc6_lp_f
mcov_062_fsw_3_bhq1
neomul_moi8_nyd1_gi_f
sainte-rose number
loblab_loh7_npe2_gi_f
spaery_jug9_kji8_br_f
calplk_mvf1_okg3_ad_f
lchaur_rki2_qud9_lp_m
mcov_547_f2_bhq1
