urocolius macrourus
psittacus erithacus
helogale hirtula
chinchilla lanigera
corvus albus
callosciurus prevostii
baeolophus atricristatus
gopherus polyphemus
contopus virens
varecia variegata
oryx leucoryx
anolis barbatus
sylvicapra grimmia
strix varia
hystrix africaeaustralis
hylomantis lemur
alcelaphus buselaphus
accipiter tachiro
dolichonyx oryzivorus
pteronura brasiliensis
dumetella carolinensis
aratinga solstitialis
gerbilliscus brantsii
lama guanicoe
pongo pygmaeus
cryptoprocta ferox
padda oryzivora
bothriechis schlegelii
puma concolor
aix galericulata
axis porcinus
malacochersus tornieri
guira guira
dasyprocta azarae
pyxis arachnoides
hyaena hyaena
goura victoria
trachycephalus resinifictrix
haliaeetus leucocephalus
hylobates lar
choloepus hoffmanni
necrosyrtes monachus
bos taurus
geospiza acutirostris
icterus spurius
colobus guereza
cyanopica cyanus
threskiornis aethiopicus
testudo hermanni
plocepasser mahali
muscicapa caerulescens
acrocephalus cinnamomeus
dacelo novaeguineae
semnopithecus entellus
lampropeltis alterna
cercopithecus ascanius
anaxyrus terrestris
parabuteo unicinctus
leontopithecus chrysomelas
notamacropus parma
drymarchon corais
lutra lutra
muscicapa striata
cuora bourreti
ramphastos toco
mephitis mephitis
cacatua haematuropygia
hippotragus equinus
saguinus oedipus
papio hamadryas
ixobrychus sturmii
raphicerus campestris
ploceus velatus
papio papio
arctocephalus tropicalis
phyllobates terribilis
tragelaphus angasii
helarctos malayanus
cairina moschata
plegadis chihi
indicator indicator
bettongia penicillata
boselaphus tragocamelus
macrotis lagotis
pytilia afra
tockus erythrorhynchus
kerodon rupestris
anas acuta
hieraaetus wahlbergi
mantella aurantiaca
ara ararauna
kobus ellipsiprymnus
corallus hortulanus
prinia flavicans
iguana iguana
equus caballus
plethodon shenandoah
otocyon megalotis
treron waalia
sus scrofa
vireo gilvus
bos javanicus
caracal caracal
cercopithecus neglectus
gonocephalus chamaeleontinus
anas discors
aspidites ramsayi
mungos mungo
mustela nigripes
budorcas taxicolor
eremophila alpestris
ara chloropterus
tockus deckeni
oryx beisa
calamonastes stierlingi
myotis volans
buteo jamaicensis
elaphe schrenckii
morelia viridis
leptailurus serval
grus carunculatus
acryllium vulturinum
columba guinea
eunectes murinus
dasyprocta leporina
falco subbuteo
treron calvus
probosciger aterrimus
aceros corrugatus
incilius signifer
ailuropoda melanoleuca
uromastyx aegyptia
canis mesomelas
lynx rufus
trachypithecus auratus
phyllobates bicolor
dryocopus pileatus
dolichotis patagonum
ovis aries
centrochelys sulcata
laniarius fuelleborni
lanius ludovicianus
alouatta caraya
lepidobatrachus asper
pedostibes hosii
astrochelys radiata
phascolarctos cinereus
cosmopsarus regius
macaca silenus
eurycea longicauda
okapia johnstoni
plethodon cinereus
mustela putorius
nyctereutes procyonoides
kobus leche
corynorhinus townsendii
eurycea bislineata
varanus prasinus
cacatua moluccensis
telophorus zeylonus
pseudechis papuanus
chamaeleo calyptratus
sus cebifrons
astrochelys yniphora
anas platyrhynchos
coua cristata
crocuta crocuta
leucopsar rothschildi
cyanocorax yncas
haliaeetus albicilla
agapornis fischeri
eira barbara
procyon lotor
atelerix albiventris
glossophaga morenoi
bucorvus abyssinicus
podargus strigoides
anolis smallwoodi
capra hircus
dracaena guianensis
alligator mississippiensis
balantiopteryx plicata
cephalophus silvicultor
varanus albigularis
