replicate p1e7 of strain dbvpg6044_dbvpg6044 evolved in fermentable media
replicate p11a3 of strain y12_y12 evolved in non-fermentable media
replicate p5a11 of strain dbvpg6044_273614n evolved in fermentable media
replicate p1h5 of strain dbvpg6044_dbvpg6044 evolved in fermentable media
replicate p13h7 of strain evolved in non-fermentable media
replicate p2f9 of strain dbvpg6044_y12 evolved in fermentable media
replicate p3f12 of strain y12_dbvpg6044 evolved in fermentable media
replicate p10b8 of strain y12_dbvpg6044 evolved in non-fermentable media
replicate p11b1 of strain y12_y12 evolved in non-fermentable media
'' replicate `` a24 '' of strain `` e24 '' evolved in non-fermentable media ''
replicate p10h9 of strain y12_dbvpg6044 evolved in non-fermentable media
replicate p10c10 of strain y12_dbvpg6044 evolved in non-fermentable media
replicate p4a7 of strain y12_y12 evolved in fermentable media
replicate p6c2 of strain evolved in fermentable media
apple forager number
'' replicate `` a152 '' of strain `` e152 '' evolved in non-fermentable media ''
replicate p1d12 of strain dbvpg6044_dbvpg6044 evolved in fermentable media
replicate p3a2 of strain y12_dbvpg6044 evolved in fermentable media
replicate p5b4 of strain dbvpg6044_273614n evolved in fermentable media
replicate p6e12 of strain evolved in fermentable media
'' replicate `` a59 '' of strain `` e59 '' evolved in non-fermentable media ''
'' replicate `` a145 '' of strain `` e145 '' evolved in non-fermentable media ''
replicate p3d9 of strain y12_dbvpg6044 evolved in fermentable media
replicate p5f11 of strain dbvpg6044_273614n evolved in fermentable media
replicate p12h12 of strain dbvpg6044_273614n evolved in non-fermentable media
replicate p5f7 of strain dbvpg6044_273614n evolved in fermentable media
replicate p8f12 of strain dbvpg6044_dbvpg6044 evolved in non-fermentable media
replicate p5b6 of strain dbvpg6044_273614n evolved in fermentable media
replicate p5b10 of strain dbvpg6044_273614n evolved in fermentable media
replicate p6a4 of strain evolved in fermentable media
replicate p9g1 of strain dbvpg6044_y12 evolved in non-fermentable media
replicate p9h10 of strain dbvpg6044_y12 evolved in non-fermentable media
replicate p2d8 of strain dbvpg6044_y12 evolved in fermentable media
replicate p8b11 of strain dbvpg6044_dbvpg6044 evolved in non-fermentable media
replicate p1b1 of strain dbvpg6044_dbvpg6044 evolved in fermentable media
replicate p5a2 of strain dbvpg6044_273614n evolved in fermentable media
replicate p9a7 of strain dbvpg6044_y12 evolved in non-fermentable media
replicate p3h2 of strain y12_dbvpg6044 evolved in fermentable media
replicate p11d1 of strain y12_y12 evolved in non-fermentable media
replicate p10c12 of strain y12_dbvpg6044 evolved in non-fermentable media
replicate p9e7 of strain dbvpg6044_y12 evolved in non-fermentable media
replicate p4a6 of strain y12_y12 evolved in fermentable media
replicate p5h1 of strain dbvpg6044_273614n evolved in fermentable media
replicate p1h8 of strain dbvpg6044_dbvpg6044 evolved in fermentable media
'' replicate `` a195 '' of strain `` e195 '' evolved in non-fermentable media ''
adults
replicate p9e5 of strain dbvpg6044_y12 evolved in non-fermentable media
replicate p9f1 of strain dbvpg6044_y12 evolved in non-fermentable media
replicate p8b10 of strain dbvpg6044_dbvpg6044 evolved in non-fermentable media
replicate p4g8 of strain y12_y12 evolved in fermentable media
replicate p2g11 of strain dbvpg6044_y12 evolved in fermentable media
replicate p12b7 of strain dbvpg6044_273614n evolved in non-fermentable media
replicate p6f5 of strain evolved in fermentable media
'' replicate `` a130 '' of strain `` e130 '' evolved in non-fermentable media ''
replicate p9c2 of strain dbvpg6044_y12 evolved in non-fermentable media
apricot leaf and flower number
replicate p13h11 of strain evolved in non-fermentable media
'' replicate `` a188 '' of strain `` e188 '' evolved in non-fermentable media ''
replicate p12b3 of strain dbvpg6044_273614n evolved in non-fermentable media
replicate p3a5 of strain y12_dbvpg6044 evolved in fermentable media
replicate p11b8 of strain y12_y12 evolved in non-fermentable media
replicate p4g3 of strain y12_y12 evolved in fermentable media
replicate p9a5 of strain dbvpg6044_y12 evolved in non-fermentable media
replicate p11d7 of strain y12_y12 evolved in non-fermentable media
replicate p1a1 of strain dbvpg6044_dbvpg6044 evolved in fermentable media
replicate p2c5 of strain dbvpg6044_y12 evolved in fermentable media
replicate p10g12 of strain y12_dbvpg6044 evolved in non-fermentable media
ns-after-000
replicate p1c5 of strain dbvpg6044_dbvpg6044 evolved in fermentable media
'' replicate `` a155 '' of strain `` e155 '' evolved in non-fermentable media ''
replicate p3h7 of strain y12_dbvpg6044 evolved in fermentable media
replicate p12c2 of strain dbvpg6044_273614n evolved in non-fermentable media
replicate p8b6 of strain dbvpg6044_dbvpg6044 evolved in non-fermentable media
replicate p1e12 of strain dbvpg6044_dbvpg6044 evolved in fermentable media
replicate p10a1 of strain y12_dbvpg6044 evolved in non-fermentable media
replicate p8e5 of strain dbvpg6044_dbvpg6044 evolved in non-fermentable media
replicate p3c11 of strain y12_dbvpg6044 evolved in fermentable media
before-030
replicate p5c4 of strain dbvpg6044_273614n evolved in fermentable media
water
replicate p8f11 of strain dbvpg6044_dbvpg6044 evolved in non-fermentable media
replicate p4e12 of strain y12_y12 evolved in fermentable media
replicate p9a4 of strain dbvpg6044_y12 evolved in non-fermentable media
manure
mixed substrate
'' replicate `` a94 '' of strain `` e94 '' evolved in non-fermentable media ''
'' replicate `` a111 '' of strain `` e111 '' evolved in non-fermentable media ''
replicate p3g7 of strain y12_dbvpg6044 evolved in fermentable media
replicate p2c10 of strain dbvpg6044_y12 evolved in fermentable media
replicate p13h6 of strain evolved in non-fermentable media
replicate p6h4 of strain evolved in fermentable media
replicate p2a3 of strain dbvpg6044_y12 evolved in fermentable media
