zenaida graysoni
platalea ajaja
tachyglossus aculeatus aculeatus
plecturocebus moloch
vidua paradisaea
bettongia penicillata
sus scrofa scrofa kunekune
anas rhynchotis variegata
leptailurus serval
cacatua haematuropygia
caprimulgus pectoralis
pseudechis papuanus
equus przewalskii
mus bufo
saguinus oedipus
lampropeltis alterna
callonetta leucophrys
mergellus albellus
varecia variegata variegata
lama guanicoe
equus hemonius
psarocolius decumanus
canis lupus
lepidosauria
lagonosticta rhodopareia
panthera tigris sumatrae
myiarchus crinitus
equus burchelli chapmani
corallus hortulanus hortulanus
ceyx pictus
helarctos malayanus
panthera uncia
laniarius fulleborni
trioceros melleri
mandrillus leucophaeus
metazoa
choloepus didactylus
symphalangus syndactylus
seiurus aurocapilla
merops apiaster
sus cebifrons negrinus
eublepharis macularius
prosthemadera novaeseelandiae
elephas maximus indicus
dendrobates tinctorius
octodon degus
tockus nasutus
garrulax leucolophus
giraffa camelopardalis
trichoglossus haematodus
kaupifalco monogrammicus
anthus lineiventris
geopelia cuneata
aonyx cinerea
aratinga solstitialis arini
ammotragus lervia
pyxis arachnoides
hyaena hyaena
kobus ellipsiprymnus
puma yagouaroundi
axis axis
eurycea bislineata
pheucticus melanocephalus
axis porcinus
macaca sylvanus
coua cristata cristata
euphagus cyanocephalus
bothriechis schlegelii
grus americana
glareola pratincola
equus asinus somalicus
connochates taurinus
procavia capensis
anas acuta
dacelo novaeguineae
pseudois nayaur
equus burchellii quagga
trachypithecus auratus
centropus senegalensis
uroplatus fimbriatus
pithecia pithecia
saguinus labiatus
microcebus murinus
strix varia
dolichotis patagonum
manouria impressa
lophuromys aquilus
lynx rufus
ailurus fulgens refulgens
polyplectron napoleonis
indicator indicator
echinops telfairi
hypogeomys antimena
muntiacus reevesi
ateles fusciceps robustus
prolemur simus
threskiornis aethiopicus
coracina pectoralis
pongo pygmaeus
tyrannus tyrannus
lepidobatrachus asper
scopus umbretta
astrochelys yniphora
treron waalia
panthera leo krugeri
antilope cervicapra
aix galericulata
mungos mungo
chinchilla lanigera
caracal caracal
dasyprocta azarae
nycticebus pygmaeus
phalacrocorax punctatus
pteropus poliocephalus
varanus prasinus
oryx dammah
muscicapa coerulescens
macrotis lagotis sagitta
lutra lutra
vicugna vicugna
necrosyrtes monachus
cercopithecus ascanius
alcelaphus buselaphus
galerella pulverulenta
sarkidiornis melanotos
columba guinea
rollulus roulroul
thryothorus ludovicianus
mimus polyglottas
cyclura collei
elaphe schrenckii
plethodon cinereus
litoria infrafrenata
python regius
bradornis infuscatus
aspidites ramsayi
crocuta crocuta
hieraaetus wahlbergi
tragelaphus eurycerus
fukomys damarensis
myrmecocichla formicivora
corvus albus
cryptoprocta ferox
pytilia afra
acinonyx jubatus
choloepus hoffmanni
semnopithecus entellus
pavo cristata
dendrobates azureus
rallus limicola
mantella aurantiaca
macaca silenus
cyanopica cyanus
phyllobates terribilis
falco biarmicus
tockus deckeni
saguinus geoffroyi
testudo hermanni
tangara episcopus
anatidae sp
lanius ludovicianus
coturnix coturnix
hippotragus equinus
connochaetes gnou
nerodia sipedon
pedostibes hosii
dinemellia dinemelli
grammomys macmillani
saimiri boliviensis boliviensis
alligator mississippiensis
diceros bicornis
plocepasser mahali
colobus angolensis
kobus leche
dryocopus pileatus
grus carunculatus
dasyprocta leporina
dasypus novemcinctus
ovis aries aries
cercopithecus wolfi wolfi
raphicerus campestris
aneides aeneus
astrochelys radiata
phascolarctos cinereus
hypogeomys antinena
goura victoria
helogale hirtula
cuora bourreti
callithrix argentata
anas platyrhynchos
prinia flavicans
telophorus zeylonus
okapia johnstoni
varanus albigularis
thryomanes bewickii
pteronura brasiliensis
haliaeetus leucocephalus
cairina moschata
myiarchus cinerascens
hylobates lar
stigmochelys pardalis
argusianus argus argus
indicator variegatus
phyllobates bicolor
boselaphus tragocamelus
heterocephalus glaber
anolis smallwoodi
ara chloropterus
atelopus varius zeteki
cyanocorax yncas glaucescens
haliaeetus albicilla
psittacus erithacus
otocyon megalotis
balearica pavonina
alaudidae sp
dasyurus maculatus
tragelaphus angasii
colobus guereza kikuyensis
erythrocebus patas
puma concolor
camelus dromedarius
canis mesomelas
otomys tropicalis
corynorhinus townsendii
camaroptera brevicaudata
laniarius atrococcineus
saguinus imperator
loxodonta africana africana
pongo pygmaeus abelii
guira guira
potos flavus megalotus
pseudocheirus peregrinus peregrinus
macropus rufus
uromastyx aegyptia
sylvicapra grimmia
arctictis binturong
anaxyrus terrestris
bos javanicus
pongo pygmaeus pygmaeus
nephrurus amyae
bucorvus abyssinicus
eulemur rufus
muscicapa striata
canis lupus signatus
gonocephalus chamaeleuntinus
bitis arietans
probosciger aterrimus
geochelone platynota
agapornis fischeri psittaculuni
mustela putorius furo
ailuropoda melanoleuca
chamaeleo calyptratus
cabassous unicinctus
halcyon malimbica
saguinus labiatus labiatus
centrochelys sulcata
anodorhynchus hyacinthinus
psittacus erithacus psittacini
alouatta caraya
gopherus polyphemus
accipiter tachiro
strabomantis bufoniformis
equus asinus africanus
pauxi pauxi
aix sponsa
glossophaga morenoi
eunectes murinus
varanus macraei
eurycea longicauda
drymarchon couperi
galictis vittata
tupaia belangeri
tenrec
acryllium vulturinum
balantiopteryx plicata
incilius signifer
parabuteo unicinctus
leucopsar rothschildi
anas discors
theloderma corticale
cynomys ludovicianus marmotini
atelerix albiventris
eira barbara
padda oryzivora
