zenaida graysoni
gorilla gorilla gorilla
lampetra appendix
nestor notabilis
geospiza difficilis septentrionalis
trioceros melleri
pteromys volans
branchiostoma floridae
desmodus rotundus
bovicola caprae
anas aucklandica chlorotis
myrmecocichla formicivora
merops_pusillus
rallus limicola
bubo_lacteus
aceros corrugatus
halcyon malimbica
ceratobatrachus guentheri
varanus albigularis
estrilda_melanotis
rollulus roulroul
hoplopleura
aepyceros melampus
leptailurus serval
ardeotis kori
anthreptes_collaris
corvus corax
chondestes grammacus
icteria virens
myotis lucifugus
prionailurus viverrinus
piranga rubra
eudyptula minor minor
ailurus fulgens
equus zebra hartmannae
eudocimus ruber
halcyon albiventris
athene cunicularia
sarcophilus harrisii
prosthemadera novaeseelandiae
dromaius novaehollandiae
lemur catta
diceros bicornis
saimiri boliviensis boliviensis
struthio camelus
fukomys damarensis
ceratotherium simum
spizella pallida
alouatta pigra
tragelaphus strepsiceros
agelaius phoeniceus
pogona vitticeps
ploceus_ocularis
empidomax minimus
parahyaena brunnea
dendrocygna viduata
anas rhynchotis variegata
mystacina tuberculata
helogale parvula
tremarctos ornatus
felis margarita
saimiri boliviensis
cisticola_erythrops
choloepus didactylus
euplectes_capensis
tockus_nasutus
cercocebus chrysogaster
plecturocebus moloch
arctocephalus forsteri
cistothorus palustris
pediculus humanus
geospiza difficilis
lipoptena
ixodes ricinus
varecia rubra
manis temmincki
pheucticus melanocephalus
grus americana
vireo gilvus
guira guira
porphyrio hochstetteri
anthernis melanura
cyanoramphus unicolor
sarkidiornis_melanotos
crax alberti
apteryx australis mantelli
crocuta crocuta
anthus_lineiventris
aves sp
trichechus manatus latirostris
papio hamadryas
dasypus novemcinctus
casuarius casuarius
canis mesomelas
anas acuta
himantopus himantopus
rhea americana
tragelaphus angasii
notamacropus rufogriseus
lagonosticta_rubricata
phyllastrephus_cerviniventris
necrosyrtes monachus
nycticebus pygmaeus
chordeiles minor
acrocephalus_arundinaceus
myiarchus crinitus
cercomela_familiaris
pongo pygmaeus pygmaeus
spiza americana
myrsidea
gallirallus australis greyi
icterus spurius
macrotis lagotis sagitta
callonetta leucophrys
hippotragus niger
tolypeutes matacus
balearica pavonina
estrilda_astrild
lagonosticta_rhodopareia
strigops habroptilus
todiramphus cinnamominus
anatidae sp
plocepasser_mahali
cervus nippon pseudaxis
colobus guereza
lanius_collurio
petromyzon marinus
batis capensis
nestor meridionalis septentrionalis
gerbilliscus brantsii
pithecia pithecia
uraeginthus_angolensis
cacatua galerita
pedostibes hosii
erethizon dorsatum
muscicapa_adusta
tachyglossus aculeatus aculeatus
manuria impressa
cercopithecus wolfi wolfi
leontopithecus rosalia
urocitellus parryii
plegadis chihi
connochaetes taurinus
polyplax
heterocephalus glaber
numida meleagris
orycteropus afer
basiliscus plumifrons
