numeric
0,856
not collected
not applicable
number
missing not provided
96,96
missing
number gh2o/gdw
87,34
number whc
restricted access
numeric gh2o/gdw
95,54
0,140101738
following rehydration
59,43
87,3
24h after recovery irrigation
87,8
0,127972028
not measured
83,02
number ± number
0,112598425
not analyzed
0,134273168
0,086715502
numeric whc
85,04
87,4
0,123281693
82,6
0,886
78,98
0,096241582
78,79
61,4
0,096463023
0,129237828
86,4
75,53
dry
n/d
81,54
na
75,4
0,102580108
88,4
91,3
0,091175146
0,246
82,03
81,27
0,446
95,4
0,141531323
0,151965066
91,5
74,8
0,124240378
88,1
0,102432097
0,116542259
12h after recovery irrigation
0,112639725
0,106060606
83,69
86,9
87,9
0,150440664
0,544
0,124695998
81,23
82,72
0,143153136
intertidal
0,092844764
0,096365524
83,3
60,53
0,109098568
0,132286513
77,51
0,156090594
0,129343629
0,391
82,14
83,68
0,242
0,129025512
0,095132297
63,13
0,109767662
54,5
83,4
submerged
72,46
80,88
93,9
85,84
0,862
73,95
0,119515253
0,151529752
0,152178533
0,352
0,142283419
0,873
57,42
0,38
83,33
0,134952136
83,55
87,62
77,1
61,12
71,8
1,146
0,13240565
0,179
85,05
60,5
78,25
85,4
63,03
0,651
0,827
84,48
0,110647182
59,14
80,43
0,516
82,78
0,641
82,3
82,71
0,17
79,1
55,54
86,7
72,36
84,69
75,33
87,2
0,114712733
0,477
88,8
90,2
83,2
88,53
84,5
not provided
83,5
0,117218172
63,5
85,6
82,37
0,286
84,8
82,9
81,4
75,7
85,64
71,66
0,132425274
np
